Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Total,Expense Type,FTE,Change over 2024
"Planning, Development and Building Services ","Services de la planification, de l’aménagement et du bâtiment",Agriculture and Rural Affairs Committee,Comité de l'agriculture et des affaires rurales,Planning Services (ARAC) ,Service de planification (CAAR),,"3,705.00",Operating,21,1
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Audit Committee,Comité de la vérification,External Audit Fees,Frais de vérification externe,,348,Operating,0,0
Office of the Auditor General,Bureau de la vérificatrice générale,Audit Committee,Comité de la vérification,Office of the Auditor General,Bureau de la vérificatrice générale,,"2,860.00",Operating,14,0
N/A,s.o,Boards and Agencies,Conseils et institutions,Committee of Adjustment,Comité de dérogation,,"1,854.00",Operating,14,0
N/A,s.o,Boards and Agencies,Conseils et institutions,Ottawa Board of Health,Conseil de santé d'Ottawa,,"82,742.00",Operating,511.11,0
N/A,s.o,Boards and Agencies,Conseils et institutions,Ottawa Police Services Board,Commission de services policiers d'Ottawa,,"442,456.00",Operating,"2,311.60",129
N/A,s.o,Boards and Agencies,Conseils et institutions,Ottawa Public Library Board,Conseil d’administration de la Bibliothèque publique d’Ottawa,,"67,580.00",Operating,543.96,54
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Childrens Services,Services à l’enfance,,"471,261.00",Operating,207.49,-12
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",,"79,545.00",Operating,432.36,0
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,"Community Safety, Well-Being, Policy & Analytics","Sécurité et Bienêtre dans les collectivités, Politiques et Données analytiques   ",,"12,768.00",Operating,16,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",,"86,651.00",Operating,615.04,11.93
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Employment and Social Services,Services sociaux,,"257,400.00",Operating,508.17,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,Facility Operations,Services d’exploitation des installations,,"41,225.00",Operating,684.25,57
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,"Gender & Race Equity, Inclusion, Indigenous Relations and Social Development",Portefeuilles de l’équité,,"36,532.00",Operating,35,0
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,"4,141.00",Operating,31,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,"30,733.00",Operating,83.59,2
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Housing and Homelessness Services,Services de logement et de la lutte contre l’itinérance,,"215,865.00",Operating,64.4,0
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Long Term Care ,Soins de longue durée,,"110,760.00",Operating,811.84,47.6
Public Works ,Services des travaux publics,Community Services Committee,Comité des services communautaires,Parks,Entretien des parcs,,"44,999.00",Operating,273.59,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,Parks and Facilities Planning,Planification des installations et des parcs,,"2,406.00",Operating,17,0
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,By-law and Regulatory Services,Services des règlements municipaux,,"30,170.00",Operating,232.29,10
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,GM's Office & Business Support Services,Bureau du DG et services de soutien aux activités,,"5,260.00",Operating,37,1
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,,"196,793.00",Operating,"1,012.00",23
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Ottawa Paramedic Service ,Service paramédic d’Ottawa ,,"149,019.00",Operating,812.8,27
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Public Policy Development,Services d’élaboration des politiques publiques,,"1,018.00",Operating,7,1
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Public Safety Service,Service de sécurité publique,,"12,633.00",Operating,26,1
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,"Services des eaux pluviales, de laboratoire et de drainage municipal",,"103,433.00",Operating,47,2
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Service de traitement des eaux usées,,"184,161.00",Operating,231.34,8
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,,"211,552.00",Operating,285.97,3
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Infrastructure Services,Services d'infrastructure,,"4,455.00",Operating,181.97,12
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Asset Management Services,Services de la gestion des biens,,"3,225.00",Operating,113,4
Public Works ,Direction générale des travaux publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Forestry Services,Services forestiers,,"22,541.00",Operating,96.32,3
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,715,Operating,39,0
Strategic Initiatives,Initiatives stratégiques,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Climate Change and Resiliency,Changements climatiques et résilience,,"4,403.00",Operating,31,0
Public Works ,Direction générale des travaux publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste Services,Services Déchets solides,,"126,337.00",Operating,102.54,11
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Chief Financial Officer/Treasurer & Business Support Services - Finance Services,Secteur d’activité des Finances municipales,,"4,238.00",Operating,33,0
Office of the City Clerk,Bureau de la greffière municipale,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,City Clerk,Bureau de la greffière municipale,,"24,045.00",Operating,148.55,0
City Manager's Office,Bureau de la directrice municipale,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,City Manager's Office,Bureau de la directrice municipale,,"5,213.20",Operating,37,0
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Corporate Finance,Service des finances,,"8,053.00",Operating,71.54,1
Strategic Initiatives,Initiatives stratégiques,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Housing Solutions and Investment Service,Services des solutions de logement et des investissements,,"10,245.00",Operating,41,0
Strategic Initiatives,Initiatives stratégiques,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Economic Development,Développement économique,,"12,068.00",Operating,13,0
N/A,s.o,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Elected Officials,Élus,,"14,356.40",Operating,0,0
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,"Financial Strategies, Planning & Client 
Service","Stratégies financières, planification et service à la clientèle",,"11,989.30",Operating,113.35,0
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Human Resources,Services de ressources humaines,,"20,787.00",Operating,126.8,0
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Information Technology Services,Services de technologie de l’information,,"80,077.00",Operating,307,2
City Manager's Office,Bureau de la directrice municipale,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Legal Services,Services juridiques,,"10,973.40",Operating,99,2
N/A,s.o,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Non Departmental,Services non liés aux services,,"470,743.00",Operating,0,0
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Office of the CISO,Bureau du chef de la sécurité informatique,,"1,802.00",Operating,7,3
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,"Payroll, Pensions & Benefits Service","Administration de la paie, des régimes de retraite et des avantages sociaux",,"9,029.30",Operating,82.33,3
City Manager's Office,Bureau de la directrice municipale,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Public Information & Media Relations,Bureau de la directrice municipale,,"4,543.00",Operating,33,0
Transit Services,Service de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de construction du train léger,,5,Operating,7,0
Strategic Initiatives,Initiatives stratégiques,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,GM's Office & Business Support Services,Bureau du DG et services de soutien aux activités,,"2,657.00",Operating,16,0
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,,"13,738.10",Operating,234.45,8
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Service Ottawa,ServiceOttawa,,"16,068.00",Operating,152.07,1
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Supply Services,Services de l'approvisionnement,,"5,270.30",Operating,52.99,1
Community and Social Services ,Direction générale des services sociaux et communautaires,Planning and Housing Committee,Comité de la planification et du logement,Affordable Housing,Logement abordable,,"11,340.00",Operating,10,1
"Planning, Development and Building Services ","Direction générale de la planification, de l’immobilier et du développement économique",Planning and Housing Committee,Comité de la planification et du logement,Building Code Services - OBC,Services du Code du bâtiment,,"32,032.00",Operating,197.89,0
"Planning, Development and Building Services ","Direction générale de la planification, de l’immobilier et du développement économique",Planning and Housing Committee,Comité de la planification et du logement,GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,"2,252.00",Operating,32,0
"Planning, Development and Building Services ","Direction générale de la planification, de l’immobilier et du développement économique",Planning and Housing Committee,Comité de la planification et du logement,Planning Services,Services de planification,,"25,203.00",Operating,132.36,0
"Planning, Development and Building Services ","Direction générale de la planification, de l’immobilier et du développement économique",Planning and Housing Committee,Comité de la planification et du logement,"Right of Way, Heritage and Urban Design","Service des emprises, du patrimoine et du design urbain",,"17,384.00",Operating,153.61,1
Transit Services,Service de transport en commun,Transit Commission,Commission du transport en commun,Transit Commission,Commission du transport en commun,,"824,158.00",Operating,"3,324.30",65
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Transportation Committee,Comité des transports,Fleet Services,Services du parc automobile,,"4,558.00",Operating,215,13
Public Works ,Direction générale des travaux publics ,Transportation Committee,Comité des transports,GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,"5,894.00",Operating,39.99,0
Public Works ,Direction générale des travaux publics ,Transportation Committee,Comité des transports,Operational Performance and Development Services,Rendement opérationnel et services d’élaboration,,"8,262.00",Operating,77.32,0
Public Works ,Direction générale des travaux publics ,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,,"18,402.00",Operating,20,0
Public Works ,Direction générale des travaux publics ,Transportation Committee,Comité des transports,Roads Services,Services des routes,,"149,118.00",Operating,529.45,3.42
Public Works ,Direction générale des travaux publics ,Transportation Committee,Comité des transports,Traffic Service,Services de la circulation,,"104,712.00",Operating,298.37,7
"Planning, Development and Building Services ","Direction générale de la planification, de l’immobilier et du développement économique",Transportation Committee,Comité des transports,Transportation Planning,Planification des transports,,"5,107.00",Operating,49,0
